Player ID,Season Experience
1630173,4
203500,10
1628389,7
1630534,2
1631231,0
1630583,3
1641725,0
1629638,5
1628960,6
1628386,7
1630631,3
203937,10
203507,11
1630175,4
1628384,7
1631317,0
1642378,0
1630166,4
1629028,6
1630654,0
1628963,6
1641735,2
1631116,2
1630163,4
1628366,5
1628964,6
1631094,2
1630217,4
1630625,3
1631230,2
203084,12
1630567,3
1629628,5
1629646,3
1641734,1
1628966,7
1642419,0
201587,16
203078,12
1627736,8
1630699,2
1641777,0
1641736,0
1631262,2
1630180,4
1629048,5
1641931,2
1641710,1
1641778,2
203992,7
202711,10
1629626,5
1641737,0
1626164,9
1630527,3
1628449,7
1631103,2
1631128,2
1641779,0
1628969,6
1628970,5
1627763,8
1628415,7
1631232,0
1628971,6
1627759,8
1631112,3
1641738,1
1629650,5
1629718,5
1628973,6
1628418,7
1641723,1
202692,13
1630215,3
202710,13
1641824,0
1631288,2
203484,11
1641739,1
203991,10
1642382,0
1642267,0
1642269,0
1628975,6
1628976,6
1630618,1
1627936,7
1642264,0
1630658,1
1630577,2
1630551,3
1642279,0
1642353,0
1631108,2
1630528,2
1631321,1
1641740,0
1629634,5
203903,10
1629651,5
1642270,0
1641730,1
1629599,5
1642268,0
1628381,7
1628380,6
201144,17
1626192,9
1641731,1
1641741,1
1628470,7
1642384,0
1630622,2
1629633,5
1630595,3
203552,10
201939,15
1642359,0
1641915,0
1630700,2
1642368,0
1630268,2
203076,12
1631098,2
1629056,5
1631120,2
201942,15
1628978,6
1631217,2
1629603,5
1641711,1
1631172,2
1642265,0
203915,10
1629029,6
1629652,5
1630245,3
1630288,3
1628408,6
203083,12
1630537,3
1642505,0
1630561,3
1627739,8
1642346,0
201142,16
1631105,2
1631106,2
1641744,0
1630162,4
1642399,0
1642348,0
1630556,3
1642407,0
1631165,2
203954,8
1642401,0
1629234,6
1641787,1
203957,7
1628981,5
1642499,0
1642271,0
1627827,8
1641745,1
1642280,0
1630201,5
1631323,2
1628368,7
1642402,0
1641847,2
1642277,0
1629655,5
1629636,5
1630568,3
1641718,1
1642273,0
202331,14
201959,15
1630581,3
1628385,5
1628983,6
1630264,4
1631221,1
1631367,3
203497,11
1630692,4
203932,10
201569,16
1641789,0
1628984,7
203924,10
1631260,2
203110,12
1630224,3
1629750,5
201145,16
1630182,4
1629656,3
1631243,1
1629060,5
1630169,4
1641790,0
203501,11
201935,15
1630702,2
1641989,0
1631199,2
203914,10
1630284,3
202699,13
1628404,7
1628392,6
1630573,3
1641722,1
1629637,5
1630165,5
1630703,1
1641707,1
1629639,5
1627741,8
1629312,4
1630792,3
1642396,0
1630207,4
1628988,6
201950,15
1641842,0
1626158,9
1641747,0
1631096,1
1641720,1
201143,17
1629659,5
1631216,2
1641724,1
1628989,6
1630643,3
1630574,0
1629631,5
1630538,3
1642345,0
204060,10
1627742,8
1631127,0
202681,13
1628371,5
1631093,2
1641713,1
1630543,3
1631245,2
202704,13
1641748,1
1628991,6
1631218,1
1642355,0
2544,21
1631170,1
1629610,5
1641998,1
