Player ID,Season Experience
1642450,0
1629660,5
1630198,4
1642358,0
1629661,5
1630552,3
201949,15
1629640,5
1630553,3
1642352,0
1641749,2
203999,9
1641732,1
1641794,0
1630529,3
1642403,0
1630539,2
1630222,3
1642461,0
1630200,4
1626145,9
1627884,8
201599,16
202709,13
1631107,2
1630548,2
1626163,9
1642530,0
1630283,0
1628379,7
1631117,2
1630557,3
1628467,7
1641752,0
1642261,0
1628995,7
1642278,0
1631132,1
1629723,5
1642046,0
1628436,7
1630249,3
1630228,3
1628398,7
1631222,2
203897,10
1627746,5
1629111,3
1641796,0
1627747,8
1627814,6
203458,11
202695,12
1642502,0
1641721,1
1630184,5
1630604,1
203081,12
1629642,6
1641726,1
1641753,1
1631254,3
1626172,9
201572,16
201567,16
200768,18
1641754,2
1626168,9
1627748,6
1630572,3
1629611,5
1630544,3
1628374,7
1630230,4
1628997,5
1628998,5
1641798,0
1630231,4
1631213,1
1629726,5
1631097,2
1631255,0
1630178,4
1630219,5
1630540,3
1642272,0
1630644,2
203468,11
204456,9
1631322,0
1641755,0
1630183,4
1629667,6
1631121,2
1629162,5
1629098,0
1629001,6
1641877,2
1630241,4
203995,1
203114,12
1641706,1
1641801,0
1641757,1
1631159,1
201988,15
1629003,6
1631303,2
1642434,0
1631169,2
1641758,0
1642274,0
1642349,0
1630558,3
1628378,7
1630596,3
1630600,3
1642367,0
1628370,7
1630541,3
1631386,1
1631111,2
1629630,5
202693,13
1628420,7
1630530,3
1627749,7
1627750,7
1631099,2
1631200,1
1629004,6
1631250,1
1626204,9
1629614,2
1630174,4
1641803,0
1627777,8
1630227,3
1630192,4
1629669,5
1641806,2
203994,10
1626220,7
1629643,5
1629006,6
1630168,4
1630171,4
1642439,0
203482,11
1630647,4
1629671,4
1626162,9
1628394,3
101108,19
1626166,9
1627780,8
1641970,2
1641809,1
1641763,1
1629618,1
1630590,2
1631342,0
203486,11
1641764,1
1629673,5
1641854,1
1629645,4
1629008,5
1626171,9
204001,8
1642366,0
1630695,3
203939,10
1626181,9
1630554,3
1627752,8
1630202,4
1641765,1
1642389,0
1627751,8
1630243,3
1629674,3
1630193,4
1631311,2
1630186,4
203944,10
1641871,1
1630559,3
1629629,5
1630194,4
1642024,0
1641810,0
1629675,5
1631197,2
1630208,4
1626196,9
1642019,0
1642258,0
1641857,0
1629130,6
1629011,6
1631115,2
1630526,3
1631223,2
1631157,2
1642050,0
1626179,9
1641712,1
1626156,9
1642504,0
1630346,3
1627734,8
1642275,0
1631257,2
1641766,1
1630611,1
1642259,0
1631204,1
1631248,0
203471,11
1630206,4
1631220,3
1630578,3
1641729,1
1629012,6
1629013,6
1630545,0
1642481,0
1630549,3
1631101,2
1642347,0
1641767,1
1642263,0
1627783,8
1627732,6
1629014,6
1642354,0
1630579,3
1631376,2
1641771,2
1630606,3
203935,10
1630696,2
1630188,4
1642449,0
1641890,0
1629015,3
1631095,2
1641733,1
1631110,2
1642285,0
1630311,1
1630531,3
1641815,0
1630205,5
1641907,0
1630569,0
1630191,4
1631124,1
1629622,5
1630591,3
1631306,2
1630256,4
1628369,7
1630678,4
202066,14
1631207,2
1628464,7
1630271,3
1630560,3
1641708,1
1641709,1
1630679,0
202691,11
202684,13
1630550,3
1629680,5
1630214,4
1642260,0
1631210,1
1630167,4
1626157,9
1642422,0
1631247,0
1629018,6
1631131,1
1630733,0
200782,13
1626167,9
1641816,1
1642281,0
1630649,2
202685,12
1627832,8
1629020,6
1630170,4
1629216,5
1641774,1
202696,13
1629731,5
1630532,3
1629021,6
1631133,2
1641716,1
1629022,7
1641717,1
1630811,0
1641775,1
1642266,0
1642276,0
203933,10
1629023,5
1631102,2
1630322,3
1630570,3
1641817,0
1631212,2
1642377,0
1641705,1
1631104,2
201566,16
1629632,5
1628401,7
1641727,1
1641715,1
1630598,3
203952,10
1631214,2
1630314,2
1642262,0
1629684,5
1631114,2
1631119,2
1629026,6
1631109,2
1631466,2
1630172,4
1630533,3
1629057,6
1631246,2
1629627,4
1630592,1
1630164,3
1626174,8
1642473,0
1626153,9
1627824,2
1642385,0
1629027,6
203469,11
1627826,8
1641783,0
1628427,4
203967,7
