Player ID,Season ID,Experience
1630563,2022-23,2
1630563,2021-22,1
1630564,2023-24,2
1630564,2022-23,1
1630567,2023-24,3
1630567,2022-23,2
1630567,2021-22,1
1630568,2023-24,3
1630568,2022-23,2
1630568,2021-22,1
1630570,2023-24,3
1630570,2022-23,2
1630570,2021-22,1
1630572,2023-24,3
1630572,2022-23,2
1630572,2021-22,1
1630573,2023-24,3
1630573,2022-23,2
1630573,2021-22,1
1630575,2023-24,1
1630575,2022-23,1
1630575,2021-22,1
1630577,2023-24,2
1630577,2022-23,1
1630578,2023-24,3
1630578,2022-23,2
1630578,2021-22,1
1630579,2023-24,3
1630579,2022-23,2
1630579,2021-22,1
1630580,2023-24,2
1630580,2022-23,2
1630580,2021-22,1
1630581,2023-24,3
1630581,2022-23,2
1630581,2021-22,1
1630582,2023-24,1
1630582,2022-23,1
1630582,2021-22,1
1630583,2023-24,3
1630583,2022-23,2
1630583,2021-22,1
1630586,2023-24,3
1630586,2022-23,2
1630586,2021-22,1
1630587,2023-24,3
1630587,2022-23,2
1630587,2021-22,1
1630589,2023-24,1
1630589,2022-23,1
1630589,2021-22,1
1630590,2023-24,2
1630590,2022-23,1
1630591,2023-24,3
1630591,2022-23,2
1630591,2021-22,1
1630592,2023-24,1
1630593,2023-24,2
1630593,2022-23,2
1630593,2021-22,1
1630595,2023-24,3
1630595,2022-23,2
1630595,2021-22,1
1630596,2023-24,3
1630596,2022-23,2
1630596,2021-22,1
1630598,2023-24,3
1630598,2022-23,2
1630598,2021-22,1
1630600,2023-24,2
1630600,2022-23,1
1630602,2023-24,1
1630602,2022-23,1
1630602,2021-22,1
1630604,2023-24,1
1630606,2023-24,2
1630606,2022-23,1
1630606,2021-22,1
1630611,2023-24,1
1630612,2023-24,1
1630612,2022-23,1
1630612,2021-22,1
1630613,2023-24,2
1630613,2022-23,2
1630613,2021-22,1
1630618,2023-24,1
1630620,2023-24,1
1630620,2022-23,1
1630624,2023-24,1
1630624,2022-23,1
1630624,2021-22,1
1630625,2023-24,3
1630625,2022-23,2
1630625,2021-22,1
1630631,2023-24,3
1630631,2022-23,2
1630631,2021-22,1
1630637,2023-24,2
1630637,2022-23,2
1630637,2021-22,1
1630639,2023-24,2
1630639,2022-23,1
1630641,2023-24,1
1630643,2023-24,3
1630643,2022-23,2
1630643,2021-22,1
1630644,2023-24,2
1630644,2022-23,2
1630644,2021-22,1
1630647,2023-24,3
1630647,2022-23,2
1630647,2021-22,1
1630648,2023-24,2
1630648,2022-23,2
1630648,2021-22,1
1630649,2023-24,2
1630649,2022-23,1
1630658,2023-24,1
1630678,2023-24,3
1630678,2022-23,2
1630678,2021-22,1
1630688,2023-24,3
1630688,2022-23,2
1630688,2021-22,1
1630691,2023-24,1
1630691,2022-23,1
1630691,2021-22,1
1630692,2023-24,3
1630692,2022-23,2
1630692,2021-22,1
1630695,2023-24,3
1630695,2022-23,2
